2.9375	2.675	2.9064	2.2375	1.85	1.9	2.8875	2.925	1.83343	1.82985	1.6186	1.43402	2.72985	2.8208	1.17038	2.01118
2.7375	2.25	2.88995	2.25	1.5625	1.6375	2.4625	2.9625	1.48718	1.4483	1.36358	1.18838	2.58325	2.7426	1.24085	2.00365
2.88578	2.7672	2.8971	2.55693	1.52515	1.91993	2.83755	2.93293	1.8463	1.86653	1.61145	1.45935	2.72613	2.85343	1.18073	1.99453
2.3	2.25	2.8393	2.9125	1.2375	1.3	1.525	2.8625	1.76385	1.76547	1.60035	1.43262	2.57153	2.70513	1.22275	2.01228
2.6625	1.625	2.58378	2.925	1.575	1.625	1.625	2.275	1.39848	1.38625	1.33333	1.156	2.30965	2.25653	1.25813	2.04225
2.65	1.7	2.66818	2.8625	1.5625	1.65	1.9	2.5375	1.44878	1.43943	1.35975	1.17083	2.40195	2.34495	1.2531	2.03635
2.8875	2.4	2.88655	2.7125	1.5625	1.5875	2.4375	2.9625	1.4744	1.45405	1.35605	1.1992	2.5583	2.81158	1.24465	2.02298
2.925	2.8375	2.90193	2.8	1.4	1.9125	2.8375	2.9125	1.80563	1.8269	1.57522	1.4009	2.72333	2.8746	1.22445	2.01615
2.61543	1.58668	2.6863	2.33073	1.40348	1.52503	1.6024	2.46625	1.4023	1.40248	1.33995	1.18485	2.3621	2.36608	1.24905	2.03655
2.61035	1.5543	2.69503	2.3271	1.38513	1.51093	1.59718	2.48128	1.41923	1.36163	1.33883	1.16953	2.34408	2.37153	1.23758	2.03313
2.56648	1.47858	2.62708	2.4021	1.35033	1.453	1.4918	2.3611	1.38708	1.3692	1.30973	1.17855	2.31458	2.2965	1.24698	2.03708
2.46128	1.31325	2.6226	2.44688	1.18925	1.2567	1.39858	2.26065	1.31885	1.2814	1.2733	1.1389	2.23008	2.23413	1.24695	2.03913
2.84835	2.4815	2.852	2.4029	1.69103	1.92083	2.45268	2.82045	1.7156	1.7022	1.54195	1.37045	2.62695	2.74933	1.19875	2.00115
2.82293	2.64448	2.90218	2.57325	1.48228	1.69095	2.81983	2.9461	1.74133	1.72053	1.53863	1.39175	2.68695	2.81793	1.20778	2.01883
2.48463	1.3641	2.51723	2.6345	1.32938	1.3676	1.3744	2.2002	1.3458	1.31408	1.31235	1.1657	2.16175	2.13928	1.24498	2.0458
2.56068	2.03127	2.77528	2.4344	1.0345	1.1601	1.83148	2.33053	1.6403	1.6215	1.49533	1.33388	2.44165	2.4907	1.22605	2.02068
